Common Name(s),All Synonyms,Country of origin,Pedigree,Hectares cultivated (Year),Year of introduction
Blaufränkisch / Limberger,"Blanc Doux, Blau Fraenkisch, Blau Fraenkische, Blauer Lemberger, Blauer Limberger, Blaufränkisch, Blaufranchis, Blaufranchisch, Blue French, Burgund Kekfrankos, Burgund Mare, Cerne, Cerne Skalicke, Cerne Starosvetske, Cerny Muskatel, Chirokolistny, Cierny Zierfandler, Crna Frankovka, Crna Moravka, Fernon, Fraenkische, Fraenkische Schwarz, Franconia, Franconia nera, Franconia nero, Franconien bleu, Franconien noir, Frankinja, Frankinja Modra, Frankovka, Frankovka Cerna, Frankovka Crna, Frankovka Modra, Fruehschwarze, Game, Grossburgunder, Imberghem, Imbergher, Jubilaeumsrebe, Karmazin, Kekfrank, Kek Frankos, Kekfrankos, Lampart, Lemberger, Limberg,  Limberger blauer, Limberger noir, Limburske, Maehrische, Modra Frankija, Modra Frankinja, Modry Hyblink, Moravka, Moravske, Muskateller Schwarz, Nagyburgundi, Neskorak, Neskore, Neskore Cierne, Noir de Franconie, Oporto, Orna Frankovka, Portugais Lerouse, Portugais Leroux, Portugais Rouge, Portugieser Rother, Pozdni, Pozdni Skalicke Cerne, Schwarz Limberger, Schwarz Fraenkische, Schwarzer Burgunder, Schwarzgrobe, Serina, Shirokolistnyi, Sirokolidtnyj, Sirokolstnii, Starosvetske, Starovetsky Hrozen, Szeleslevelue, Teltfuertue Kekfrankos, Teltfurtu Kekfrankos, Vaghyburgundi, Velke Bugundske, Vojvodino",Austria,Gouais blanc × Frankish grapes,"3,340 (Austria), 1,729 (Germany), 1,742 (Slovakia), 8,000 (Hungary), 891 (Romania), 880 (Croatia), 127 (Italia), 30 (USA)",
Bobal,"Balau, Balauro, Benicarlo, Boal, Bobal Noir, Bobos, Carignan D'Espagne, Carignan D'Espagne A Fronton, Carignan Espagnol, Coreana, Espagnol, Folle Blanche Du Minervois, Moravio, Pobreton, Provechon, Rageno, Rajeno, Requena, Requenera, Requeno, Terret D'Espagna, Terret D'Espagne, Tinta Madrid, Tinto De Requena, Tinto De Zurra, Tonto De Zurra, Valenciana, Valenciana Tinta, Valenciana Tinto, Vinate.","Spain, Utiel-Requena",,"90,000",
Boğazkere,"Saraplik Siyah, Siyah Saraplik.","Turkey, Elazığ Province",,,
Bombino Nero,"Bambino, Buonvino, Buonvino Nero, Calatamuro Nero, Cola Tamburo Nero.",Italy,,,
Bonamico,"Buenamico, Buon Amico, Buonamico, Canaiolo Romano, Ceragia, Dorace, Durace, Giacomino, Neret, Neyret, Pulera, Sangioveto, Tinto, Uva Di Palaia, Uva Rosa.","Italy, Tuscany",,100 (2000),
Bonarda Piemontese,"Balsamina, Banarda Di Chieri, Bonarda, Bonarda A Grandes Grappes, Bonarda Del Monferrato, Bonarda Dell' Astigiano, Bonarda Dell' Astigiano E Monferrato, Bonarda Di Asti, Bonarda Di Chieri, Bonarda Di Piemonte, Bonarda Di Pyemont, Bonarda Du Piemont, Bonarda Nera, Bonarda Nero, Driola, Kanaiolo Krasnyi.","Italy, Piedmont",,,
Bonda,,"Italy, Valle d'Aosta",,3 (2000),
Bondola,"Bistershna Zhernina, Bistriska Crnina, Blaustiel Blau, Bonda, Bondola Nera, Bondoletta, Brieger, Briegler, Bundula, Chailloche, Longobardo, Mohrenkoenig.","Switzerland, Ticino",,,
Bondoletta,Bondola,Switzerland,Bondola × Completer,,
Bonicaire,"Trepat, Embolicaire, Trapat, Traput, Trepan.",Spain,,,
Bonvedro,"Bariadorgia, Bastardo, Bombedra, Bomogastro, Bomvedro, Bonifacienco, Bonifazino, Bonvedro, Bunifazinu, Cacagliola, Carcaghjoliu Neru, Carcaghjolu Neru, Carcagiola, Carcajiola, Carcajola Noir, Carcajolo, Carcajolo Nero, Carcajolo Noir, Cargajola, Caricagiola, Espagnin, Espagnin Noir, False Carignan, Lambrusco De Alentejo, Marota, Monvedro, Monvedro (Oeste), Monvedro De Sines, Monvedro Tinto, Morteira, Murteira, Paraletta, Parralada, Parraleta, Parreleta, Pau Ferro, Ribote, Ribote, Salceno Negro, Tinta Caiada, Tinta Da Lameira, Tinta Do Lameiro, Tinta Lameira, Tinta Murteira, Tintorro, Torres D'Algarve.",Spain,,,
Borba,,Portugal,Muscat Hamburg × Joao Santarem,,
Borracal,"Azedo, Bagalhal, Bogalhal, Borraco, Borrasao, Bougalhal, Bovvaco, Cachino, Cainho Gordo, Cainho Grande, Cainho Grosso, Caino Del Pais, Caino Gordo, Caino Redondo, Caino Tinto, Esfarrapa, Esfarrapas, Espadeiro Redondo, Morraca, Murracal, Oil De Chapaud, Olho De Sapo, Tinta Femia, Tinta Femia De Aldan, Tinto Redondo",Portugal,,,
Bouchalès,"Aubet, Bouchales A Buzet, Bouchales Chedy, Bouchalets, Bouchares, Bouchedey, Boucheres, Bouissalet, Bouscales, Bouscares, Bouyssalet, Capbreton Rouge, Cayla, Crapput, Craput, Cujas, Esparbasque, Grappu, Grappu De La Dordogne, Grapput, Gros Bouchales, Gros Bouchares, Gros De Judith, Gros Grappu, Gros Marthy, Gros Marty, Gros Maure, Gros Mol, Jeanjean, Negrasse, Picardan, Picardan Noir, Piquardan, Plant Touzan, Prolongeau, Prueyras, Queuefort, Toussan, Touzan.","France, Gironde",,,
Bourrisquou,"Bourrignou, Bourriscou, Bourrisquou De Romanet, Bourrisquou De Romani, Mourrisquou De Romani, Romanet.",France,Heben × Monastrell,,
Bouteillan Noir,"Bouteillan A Gros Grain, Boutelion Noir, Caian, Callion Nero, Cargomuou, Cayau, Esfouiral, Esfouiras De Roquemaure, Fouiral, Mentone, Moulas, Petit Bouteillan, Plant De Psalmodi, Psalmodi Noir, Psalmody, Quagliana, Quagliano Nero, Quaian, Quajan, Quagliano, Qualiano, Sigotier, Sigoyer.",Italy,,,
Bovale Grande,"Bova Murru, Bovale, Bovale Di Spagna, Bovale Grosso, Bovale Mannu, Bovale Murru, Bovali Mannu, Maraiola Maggiore, Mostaia, Nieddera, Tintarella, Tintiglia, Tintilia, Tintillosa, Tintillu, Tintirella, Zinzillosa.","Italy, Sardinia",,,
Bovale Sardo,"Graciano, Alicante, Bastardo Nero, Bois Dur, Bordelais, Bovale, Bovale Piccolo, Bovale Piticco, Bovaleddo, Bovaleddu, Bovali Mannu, Bualeddu, Cadelanisca, Cagliunari, Cagniulari, Cagnolari Nero, Cagnonale, Cagnorali Nero, Cagnovali, Cagnovali Nero, Cagnulari, Cagnulari Bastardo, Cagnulari Sardo, Cagnulatu, Calda Reio, Caldareddhu, Caldareddu, Caldarello, Cardanissia, Cardinissia, Cargo Muol, Carrixa, Casca, Cendron, Charge Mulet, Courouillade, Couthurier, Couturier, Drug, Enfarine, Graciana, Graciano 15-5, Graciano Tinto, Gros Negrette, Grosse Negrette, Himrisnky, Jerusano, Juan Ibanez, Karis, Marastel, Maristeddo, Matarou, Materou, Minostello, Minustello, Minustellu, Minustillu, Monastel, Monasteou, Monaster, Monastrel, Monastrell Menudo, Monastrell Verdadero, Monestaou, Monestel, Moraiola Minore, Morastel, Morastell, Morestel, Moristell, Morrastel, Morrastel Tantot, Moura, Mourastel, Mouroustel, Mourrastel, Murastellu, Muristeddo, Muristeddu, Muristellu, Negrette De Montauban, Negrette De Pays, Nieddu Prunizza, Perpignan, Perpignanou Bois Dur, Perpigne, Plant De Ledenon, Tanat Gris, Tannat Bordelais, Tannat Gris, Tinta, Tinta De Fontes, Tinta Do Padre Antonio, Tinta Fontes, Tinta Mencida, Tinta Menuda, Tinta Miuda, Tinta Miuda De Fontes, Tintilho, Tintilla, Tintilla De Rota, Tintillo, Tintillo Alicante, Tinto, Torrentes, Uva Cagnelata, Verdadero, Xeres, Xerez, Zinzillosa.",Spain,,,
Bracciola Nera,"Barciuola, Bracciola, Bracciula, Bracciuola, Braciola, Braciuola, Brassola, Brassora, Brazolata, Rappalunga.","Italy, Liguria",,,
Brachetto del Piemonte,"Brachetto, Borgogna, Bracchetto, Bracelet, Brachet De Nice, Brachetto D' Acqui, Brachetto D'Alexandrie, Brachetto Di Acqui, Brachetto Di Montabone, Brachetto Du Piemont, Braquet Des Jardins, Calitor, Moscato Nero.","Italy, Piedmont",,,
Brancellao,"Alvarelhao, Albarello, Alvaralhao, Alvarelhao De Pe Branco, Alvarelhao De Vara Branca, Alvarelho, Alvarellao, Alvarello, Alvarello Gallego, Alvarelo, Alvarelyo, Avarilhao, Brancelhao, Brancelho, Brancello, Brencellao, Broncellao, Locaia, Pilongo, Pirrauvo, Pirruivo, Serradelo, Serradillo, Uva Gallega, Uva Negra, Varancelha, Verancelha.",Portugal,,,
Braquet Noir,"Brachet, Brachetto, Bracke, Braquet, Bruquet, Calito Du Languedoc, Canseron.",France,,,
Brugnola,,"Italy, Lombardy",,,
Brujidera,"Marufo, Abrunhal, Barrete De Padre, Brujidero, Brujiguero, Colgadera, Crujideiro, Crujidera, Crujidero Di Spagna, Falso Mourisco, Lagrima Noir, Lamego, Lobo, Malvasia, Marouco, Marufa, Marufo Roxo, Marujo, Moravia Dulce, Morisco Tinto, Morocco, Mourico, Mourisca, Mourisco, Mourisco Du Douro, Mourisco Nos Vinhos Verdes, Mourisco Preto, Mourisco Roxo, Mourisco Tinto, Olho De Rei, Rucial, Tinta Amarela Grossa, Tinta Do Caramelo, Tinta Grossa, Trujidera, Trujidero, Uva De Rei, Uva Rei.",Portugal,,,
Brun Argenté,"Arzhente, Bakarezo, Bryun, Camarese, Camareze, Camarezo, Cameres Du Gard, Kamaredyu Gard, Kamarez, Madeleine, Vacarese, Vacareze Blanc, Vaccarese, Vaccareso, Vaccareze, Vakarez.",France,,,
Brun Fourca,"Brun D'Aureol, Brun D'Auriol, Brun De Farnous, Brun Farnous, Brun Fourcat, Brun Tourcae, Brunfourka, Caula, Caula Noir De Vaucluse, Farnous, Floura, Flouron, Gros Taulier, Manconnet, Morrastel Fleuri, Morrastel Flourat, Moulan, Moulard, Moulau, Mourastel Flourat, Moureau, Mourrastel Fleuri, Mourrastel Floura, Mourrastel Flourat, Mouzeau, Mulon, Plant De Bordeaux, Plant Francais, Tinto Gallego.","France, Palette AOC",Pougayen × Best's R2 V73,,
Brunal,"Alfrocheiro, Albarin Frances, Albarin Negrin, Albarin Negro, Albarin Tinto, Albarinon, Alfrocheiro Preto, Alfrucheiro, Alfurcheiro, Baboso Negro, Bastardo Negro, Caino Gordo, Tinta Bastardinha, Tinta Francesa De Viseu, Tinta Francisca De Viseu, Tinto Serodo",Portugal,,,
Brunello,"Sangiovese, Brunelletto, Brunello Di Montalcino, Calabrese, Cardisco, Chiantino, Cordisio, Cuocignola, Gabba Cani, Guarnacciola, Ingannacane, Lacrima, Lakhdari, Lambrusco, Lambrusco Mendoza, Maglioppa, Montepulciano, Montepulciano Primutico, Morellino, Morellino De Florence, Morellino Di Scansano, Morellone, Moscatale, Moscatele, Negretta, Nerino, Nerino Sanvicetro, Niella, Nielluccia, Nielluccio, Niellucciu, Pigniuolo Rosso, Pignolo, Pignolo Rosso, Pignuolo, Plant Romain, Primaticcio, Prugnolino Dolce, Prugnolo, Prugnolo Di Montepulciano, Prugnolo Dolce, Prugnolo Gentile, Prugnolo Gentile Di Montepulciano, Prugnolo Rosso, San Gioveto Grosso, San Montanino, San Quioveto, San Roveto, San Zoveto, Sancivetro, Sangineto, Sangiogheto, Sangiovese Crni, Sangiovese Dal Cannello Lungo, Sangiovese Dal Cannello Lungo Di Predappio, Sangiovese Di Lamole, Sangiovese Di Romagna, Sangiovese Dolce, Sangiovese Elba, Sangiovese Gentile, Sangiovese Grosso, Sangiovese Nostrano, Sangiovese Piccolo, Sangiovese Piccolo Precoce, Sangiovese Romagnolo, Sangiovese Toscano, Sangiovete, Sangioveto, Sangioveto Dell'Elba, Sangioveto Dolce, Sangioveto Grosso, Sangioveto Montanino, Sanvincetro, Sanxhoveze, Sanzoveto, Tabernello, Tignolo, Tignolo Sointovese, Tipsa, Toustain, Uva Abruzzi, Uva Canina, Uvetta",Italy,,,
Bubbierasco,,"Italy, Piedmont",Nebbiolo × Bianchetto Di Saluzzo,,
Buket,"Bouquet, Bouket",Bulgaria,Mavroud × Pinot Noir,,
Busuioaca de Bohotin,"Muscat A Petits Grains Noirs, Black Frontignan, Busuioaca, Busuioaca De Bohotin, Busuioaca Roza De Bohotin, Busuoaca Neagra, Caillaba, Caillaba Noir, Cayabe, Caylor Noir Musque, Cerni Muskat, Fekete Muskotally, Frontignan Black, Frontignan Rot, Gaillaba, Gara Muscat, Gara Muskat, Jura Black Muscat, Kajyaba, Kayyaba, Mor Muscateller, Moscatel Galego, Moscatel Negro, Moscatel Tinto, Moscateller Nigra, Moscatello Nero, Moscato Greco Nero, Moscato Nero, Moschato Mavro, Muscat Caillaba, Muscat Calyaba, Muscat D'Eisenstadt, Muscat De Yura, Muscat Du Jura, Muscat Gaillaba, Muscat Kaillaba, Muscat Mavro, Muscat Modry, Muscat Nero De Spania, Muscat Noir, Muscat Noir A Petits Grains, Muscat Noir D'Eisenstadt, Muscat Noir Du Jura, Muscat Noir Ordinaire, Muscat Rouge, Muscat Violet, Muscat Violet De Madeira, Muscat Zerni, Muscateller, Muskat Cerni, Muskat Chernyi, Muskat Chernyi Kalyabskii, Muskat Kalyaba, Muskat Modry, Muskat Modry Malozrnny, Muskateller Blau, Muskateller Grau, Muskateller Schwarz, Muskateller Schwarzblau, Muskotally Kek, Noir De Thyra, Qara Muskat, Rother Frontignan, Schmeckende Schwarz, Schwarze Schmeckende, Schwarzer Muskateller, Schwarzer Weihrauch, Tamaioasa Vanata De Bohotin, Weihrauch Schwarz.",Romania,,100,
Caberinta,Gargiulo,Argentina,Ruby × Ruby Cabernet,,
Cabernet Carbon,Freiburg,Germany,Cabernet Sauvignon × Bronner,,1983
Cabernet Carol,Freiburg,Germany,Cabernet Sauvignon × Solaris,,1982
Cabernet Colonjes,Valentin Blattner,Switzerland,Cabernet Sauvignon × ? (fungus resistant variety),,
Cabernet Cortis,Freiburg,Germany,Cabernet Sauvignon × Solaris,,1982
Cabernet Cubin,Weinsberg,Germany,Limberger Blau × Cabernet Sauvignon,,1970
Cabernet Dorio,Weinsberg,Germany,Blauer Limberger × Dornfelder,,1971
Cabernet Dorsa,Weinsberg,Germany,Blauer Limberger × Dornfelder,,1971
Cabernet Franc,"Acheria, Ardounet, Aroia, Arrouya, Auxquels, Baro, Beron, Bidure, Bordeaux, Bordo, Bordo Magher, Boubet, Bouchet, Bouchet Franc, Bouchet Saint-Emilion, Bouchy, Breton, Burdeas Tinto, Cabernet, Cabernet Aunis, Cabernet Bresciano, Cabernet D'Aunis, Cabernet Franc Blauer, Cabernet Franc Crni, Cabernet Franc Nero, Cabernet Franc Noir, Cabernet Francese, Cabernet Franco, Cabernet Frank, Cabernet Gris, Cabonet, Cabrunet, Capbreton, Capbreton Rouge, Carbenet, Carbonet, Carbouet, Carmene, Carmenet, Carmenet Grand, Carne Fran, Couahort, Crouchen Negre, Crouchen Noir, Fer Servadou, Fer Servandou, Gamput, Gro Kaberne, Gro Vidyur, Gro Vidyuz, Gros Bouchet, Gros Bouschet, Gros Caberne, Gros Cabernet, Gros Vidure, Gros Vidyuz, Grosse Vidure, Hartling, Kaberne, Kaberne Fran, Kaberne Frank, Kabernet Frank Breton, Karmene, Messanges, Messanges Rouge, Morenoa Veron Bouchy, Noir Dur, Petit Fer, Petit Viodure, Petite Vidure, Petite Vignedure, Plan Des Sables, Plant Breton, Plant De L'Abbe Breton, Qro Kaberne, Qro Vidyuz, Sable Rouge, Trouchet, Trouchet Noir, Tsapournako, Verdejilla Tinto, Veron, Veron Bouchy, Veronais, Vidure, Vuidure.","France, Loire Valley",,"36,000 (France), 7,000 (Italy), 1,400 (USA), 210 (New Zealand), 1,000 (South Africa), 1,180 (Chile), 300 (Argentina)",
Cabernet Gernischt,"Carmenere, Bordo, Bouton Blanc, Caberne Karmener, Cabernella, Cabernelle, Cabernet, Cabernet Carmenere, Cabernet Cosmo, Cabernet Gernicht, Cabernet Gernischet, Cabernet Gerniseht, Cabernet Grande, Cabernet Grosso, Cabernet Italico, Cabernet Shelongzhu, Carbonet, Carbouet, Caremenelle, Carmenea, Carmenegre, Carmenelle, Carmeneyre, Gran Vidyur, Grand Carmenet, Grand Vidure, Grande Vidure, Grande Vuidure, Grosse Vidure, Kaberne, Kaberne Karmener, Kabernel, Karmene, Karmensel, Uva Francesca.",France,Moural × Cabernet Franc,,
Cabernet Jura,Valentin Blattner,Switzerland,Cabernet Sauvignon × ? (fungus resistant variety),,
Cabernet Mitos,Weinsberg,"Germany, Württemberg (wine region)",Blaufraenkisch × Teinturier,317 (Germany 2006),1970
Cabernet Moravia [cs],,Czech Republic,Cabernet Franc × Zweigeltrebe,,
Cabernet Pfeffer,Pfeffer Cabernet,United States,,,
Cabernet Sauvignon,"Bidure, Bordaoux, Bordeaux, Bordo, Bouche, Bouchet, Bouchet Sauvignon, Bourdeos Tinto, Bouschet Sauvignon, Breton, Burdeos Tinto, Cabarnet Sauvignon, Caberne, Caberne Sovinion, Cabernet Petit, Cabernet Piccolo, Cabernet Sauvignon Black, Cabernet Sauvignon Blauer, Cabernet Sauvignon Cl. R5, Cabernet Sauvignon Crni, Cabernet Sauvignon Nero, Cabernet Sauvignon Noir, Cabernet Sauvignon Petit, Carbonet, Carbouet, Carmenet, Castet, Dzanati, Enfin, Epicier Noir, Kaberne Sovinjon, Kaberne Sovinon, Kaberne Sovinyon, Kabernet Suvinjon, Lafet, Lafit, Lafite, Marchoupet, Melkii Chernyi, Menut, Navarre, Petit Bouchet, Petit Bouschet, Petit Cabernet, Petit Cavernet Sauvignon, Petit Vidure, Petit-Bouchet, Petite Parde, Petite Vidure, Sauvignon, Sauvignon Rouge, Sauvignonne, Vaucluse, Veron, Vidure, Vidure Petite, Vidure Sauvignon, Vidure Sauvignonne.",France,Cabernet Franc × Sauvignon Blanc,"262,000 (2004)",17th century
Cabernet Severny,"Kaberne Severnyi, Cabernet Severny, Cabernet Severnyi, Cabernet Szevernuej, Kaberne Severnyi",Russia,Galan × Amurensis,,1978
Cabertin,,,Cabernet Sauvignon × ? (fungus resistant variety),,1991
Caddiu,"Caddeo, Caddiu Nieddu, Caddu, Niedda, Niedda Perda Serra, Perda, Serra.","Italy, Sicily",,,
Cagnulari,"Graciano, Alicante, Bastardo Nero, Bois Dur, Bordelais, Bovale, Bovale Piccolo, Bovale Piticco, Bovale Sardo, Bovaleddo, Bovaleddu, Bovali Mannu, Bualeddu, Cadelanisca, Cagliunari, Cagniulari, Cagnolari Nero, Cagnonale, Cagnorali Nero, Cagnovali, Cagnovali Nero, Cagnulari, Cagnulari Bastardo, Cagnulari Sardo, Cagnulatu, Calda Reio, Caldareddhu, Caldareddu, Caldarello, Cardanissia, Cardinissia, Cargo Muol, Carrixa, Casca, Cendron, Charge Mulet, Courouillade, Couthurier, Couturier, Drug, Enfarine, Graciana, Graciano 15-5, Graciano Tinto, Gros Negrette, Grosse Negrette, Himrisnky, Jerusano, Juan Ibanez, Karis, Marastel, Maristeddo, Matarou, Materou, Minostello, Minustello, Minustellu, Minustillu, Monastel, Monasteou, Monaster, Monastrel, Monastrell Menudo, Monastrell Verdadero, Monestaou, Monestel, Moraiola Minore, Morastel, Morastell, Morestel, Moristell, Morrastel, Morrastel Tantot, Moura, Mourastel, Mouroustel, Mourrastel, Murastellu, Muristeddo, Muristeddu, Muristellu, Negrette De Montauban, Negrette De Pays, Nieddu Prunizza, Perpignan, Perpignanou Bois Dur, Perpigne, Plant De Ledenon, Tanat Gris, Tannat Bordelais, Tannat Gris, Tinta, Tinta De Fontes, Tinta Do Padre Antonio, Tinta Fontes, Tinta Mencida, Tinta Menuda, Tinta Miuda, Tinta Miuda De Fontes, Tintilho, Tintilla, Tintilla De Rota, Tintillo, Tintillo Alicante, Tinto, Torrentes, Uva Cagnelata, Verdadero, Xeres, Xerez, Zinzillosa.","Spain, Rioja",,395,
Caino Bravo,"Amaral, Amaral Preto, Azal, Azal Preto, Azal Tinto, Azar, Cachon, Cainho Miudo, Caino, Caino Bravo, Caino Tinto, Cainzinho, Sousao, Sousao Galego.",Portugal,,,
Caiño Tinto,"Borracal Azedo, Bagalhal, Bogalhal, Borraco, Borrasao, Bougalhal, Bovvaco, Cachino, Cainho Gordo, Cainho Grande, Cainho Grosso, Caino Del Pais, Caino Gordo, Caino Redondo, Esfarrapa, Esfarrapas, Espadeiro Redondo, Morraca, Murracal, Oil De Chapaud, Olho De Sapo, Tinta Femia, Tinta Femia De Aldan, Tinto Redondo.",Portugal,,,
Calabrese,"Alba De Calabria, Calabrese Cappuciu Nero, Calabrese D'Avola, Calabrese De Calabria, Calabrese Di Noto, Calabrese Dolce, Calabrese Nero, Calabrese Pittatello, Calabrese Pizuto, Calabrese Pizzutello, Calabrese Pizzutello Con La Foglia Rotonda, Calabrese Pizzuto, Calabreser Weiss, Calabria, Calabriai Fekete, Calabrisi D'Avola, Fekete Calabriai, Kalabriai Fekete, Nero D'Avola, Raisin De Calibre Noir, Strugeri De Calabria, Uva De Calabria.",Italy,,,
Calabrese di Montenuovo,"Calabrese Montenuovo, Nero D'Avola, Sangiovese.",Italy,,,
Caladoc,"Caladok, Kaladok.","France, Languedoc",Grenache × Cot,,1958
Calandro,Geilweilerhof,Germany,Domina × Regent,,1984
Calitor Noir,"Anglas, Assadoule Bouvier, Binxeilla, Blavette, Calitor, Canseron, Cargo Miola, Cargo Muou, Catitor, Causeron, Causeroun, Charge Mulet, Col Tor, Colitor, Coulitor, Coytor, Dameron Des Vosges, Foirard, Foirat, Fouiraire, Fouiral, Fouirassan, Garriga, Marounvern, Mouillas, Noeuds-Courts, Nou Courte, Pampoul, Pecoui Touar, Pecoui Tovar, Picpoul De Fronton, Picpoule Sorbier, Piquepoul De Fronton, Pride Of Australia, Qualitor, Ramonen, Rouget De Salins, Rousselin, Rousselin Noir, Rousset, Rouxal, Sang De Boeuf, Saure, Sen Zhan, Siege Noir, Sigotier, Sigoyer, Tentyure Artekskii, Touar","France, Provence wine",,,
Çalkarası,Çal Karası,Turkey,,,
Callet,,Spain,Callet Cas Concos × Fogoneu,,
Caloria,,"Italy, Tuscany",,,
Camaraou Noir,"Caino Redondo, Camaralet Noir, Camaran, Camaras, Camarau, Camaraue Rouge, Couxo, Gros Noir, Kamarau, Mehrfarbiger Camarau, Moustardet, Plant Sauvage, Sparse Menue.",France,,,
Camarate,"Camarate Tinto, Bairrada, Caccalho, Cascalho, Casculho, Castelao, Castelao Da Bairrada, Castelao De Nosso, Castelao Do Nosso, Castelao Nacional, Castelao Nosso, Maroto, Morete, Moreto, Moreto De Soure, Moreto Do Douro, Mortagua, Mortagua De Vide Preta, Mouro Negro, Mureto, Negro Mouro, Negru Mouro.",Portugal,Cayetana blanca × Alfrocheiro Preto,,
Camarese,"Brun Argente, Arzhente, Bakarezo, Bryun, Camarese, Camareze, Camarezo, Cameres Du Gard, Kamaredyu Gard, Kamarez, Madeleine, Vacarese, Vacareze Blanc, Vaccarese, Vaccareso, Vaccareze, Vakarez",France,,,
Campbell Early,"Campbell, Campbell'S Early, Champbell Early, Early Campbell, Island Belle",United States,Moore Early × (Belvidere × Muscat Hamburg),,1890
Canaiolo Nero,"Caccione Nero, Cacciuna Nera, Cagnina, Calabrese, Canaiola, Canaiolo, Canaiolo Borghese, Canaiolo Cascolo, Canaiolo Colore, Canaiolo Grosso, Canaiolo Nero A Raspo Rosso, Canaiolo Nero Comune, Canaiolo Nero Grosso, Canaiolo Nero Minuto, Canaiolo Pratese, Canaiolo Romano, Canaiolo Rosso Piccolo, Canaiolo Toscano, Canaiuola, Canaiuolo, Canajola Lastri, Canajolo, Canajolo Lastri, Canajolo Nero Grosso, Canajolo Piccolo, Canajuola, Canajuolo Nero Comune, Canina, Cannaiola, Cannaiola Di Marta, Cannaiola Macchie Di Marta, Cannajola, Colore, Colore Canino, San Giovese, Tindillaro, Tindilloro, Uva Canaiolo, Uva Canajola, Uva Canajuola, Uva Canina, Uva Colore Canaiola, Uva Dei Cani, Uva Donna, Uva Fosca, Uva Grossa, Uva Marchigiana, Uva Merla, Vitis Vinifera Etrusca.","Italy, Tuscan wine",,"3,000 (2006)",
Canari Noir,"Balza, Batista, Blanchette Rouge, Blanquette Rouge, Boudales, Bourgogne, Caillaba, Canari, Canaril, Canarill, Carcasses, Cargo Nalt, Cargonalt, Chalosse Noire, Cot A Queue Verte, Cot Vert Du Saumurois, Cotes Vertes, Enfin, Errone De Grolleau, Esquisse Braguette, Folle Noir De La Vienne, Folle Noire, Gamay De Malain, Gamay Malain, Grosse Negrette, Luverdon, Oeil De Chope, Ondane, Ondenc Noir, Pinot Gris, Pinot Gris Mendoza, Saint Helene, Sainte-Helene, Semis Rouge, Ugne Noir, Ugne Noire.",France,,,
Canina Nera,"Canena, Canina, Canina Crossa, Canina Dal Raspo, Canina Di Forli, Canina Di Lugo, Canina Di Ravenna, Canina Picola Lunga, Cannina, Uva Canina.","Italy, Emilia-Romagna",,,
Cannamela,,Italy,,,
