Common Name(s),All Synonyms,Country of origin,Pedigree,Hectares cultivated (Year),Year of introduction
Carcajolo Nero,"Parraleta, Bariadorgia, Bastardo, Bombedra, Bomogastro, Bomvedro, Bonifacienco, Bonifazino, Bonvedro, Bunifazinu, Cacagliola, Carcaghjoliu Neru, Carcaghjolu Neru, Carcagiola, Carcajiola, Carcajola Noir, Carcajolo, Carcajolo Nero, Carcajolo Noir, Cargajola, Caricagiola, Espagnin, Espagnin Noir, False Carignan, Lambrusco De Alentejo, Marota, Monvedro, Monvedro (Oeste), Monvedro De Sines, Monvedro Tinto, Morteira, Murteira, Paraletta, Parralada, Parraleta, Parreleta, Pau Ferro, Ribote, Ribote, Salceno Negro, Tinta Caiada, Tinta Da Lameira, Tinta Do Lameiro, Tinta Lameira, Tinta Murteira, Tintorro, Torres D'Algarve.","Italy, Sardinia",,,
Caricagiola,"Bonifaccenco, Bonifacenco, Bonifacengo, Bonifazina, Bonifazino, Carajolo Noir, Carcaghjolu, Carcagiola, Carcajola, Cargajola, Caricagliola, Carjcagiola, Carricadolza, Garricadolza",Italy,,,
Carignan,"Carignan Noir, Axina De Spagna, Babonenc, Babounenc, Blaue Shopatna, Blaue Sopatna, Blauer Carignan, Blauer Carignant, Boi Dur, Bois De Fer, Bois Dur, Bois Dure, Bovale Grande, Bovale Grande Di Spagna, Bove Duro, Bove Duro Di Spagna, Cafalan, Cagnolaro, Cagnolaro Tinto, Calignan, Carignan Crni, Carignan Frances, Carignan Mouillan, Carignane, Carignane Mouilla, Carignane Noir, Carignane Noire, Carignane Violette, Carignanne, Carignano, Carignano Di Carmignano, Carignena, Carinena, Carinena Mazuela, Carinena Negra, Catalan, Cencibel, Crignane, Crinana, Crujillon, Crusillo, Girard, Girarde, Grenache Du Bois, Grenache Du Bois Dur, Karignan, Karinian, Karinjan, Karinyan, Kek Carignan, Legno Duro, Legno Duro Di Portoferraio, Manuelo Tinto, Manzuela, Marocain, Mataro, Mazuela, Mazuelo, Mollard, Monestel, Mounesteou, Pinot D'Evora, Pinot Evara, Plant D'Espagne, Plant De Ledenon, Pokovec, Pokovez, Roussillonen, Samso, Samso Crusillo, Sanso, Sopatna Blau, Tinto Mazuela, Uva Di Spagna.","Spain, Zaragoza",,"95,700 (EU 2006)",
Carinena,"Carignan Noir, Axina De Spagna, Babonenc, Babounenc, Blaue Shopatna, Blaue Sopatna, Blauer Carignan, Blauer Carignant, Boi Dur, Bois De Fer, Bois Dur, Bois Dure, Bovale Grande, Bovale Grande Di Spagna, Bove Duro, Bove Duro Di Spagna, Cafalan, Cagnolaro, Cagnolaro Tinto, Calignan, Carignan, Carignan Crni, Carignan Frances, Carignan Mouillan, Carignane, Carignane Mouilla, Carignane Noir, Carignane Noire, Carignane Violette, Carignanne, Carignano, Carignano Di Carmignano, Carignena, Carinena, Carinena Mazuela, Carinena Negra, Catalan, Cencibel, Crignane, Crinana, Crujillon, Crusillo, Girard, Girarde, Grenache Du Bois, Grenache Du Bois Dur, Karignan, Karinian, Karinjan, Karinyan, Kek Carignan, Legno Duro, Legno Duro Di Portoferraio, Manuelo Tinto, Manzuela, Marocain, Mataro, Mazuela, Mazuelo, Mollard, Monestel, Mounesteou, Pinot D'Evora, Pinot Evara, Plant D'Espagne, Plant De Ledenon, Pokovec, Pokovez, Roussillonen, Samso, Samso Crusillo, Sanso, Sopatna Blau, Tinto Mazuela, Uva Di Spagna.",France,,,
Carménère,"Bordo, Bouton Blanc, Caberne Karmener, Cabernella, Cabernelle, Cabernet, Cabernet Carmenere, Cabernet Cosmo, Cabernet Gernicht, Cabernet Gernischet, Cabernet Gernischt, Cabernet Gerniseht, Cabernet Grande, Cabernet Grosso, Cabernet Italico, Cabernet Shelongzhu, Carbonet, Carbouet, Caremenelle, Carmenea, Carmenegre, Carmenelle, Carmeneyre, Gran Vidyur, Grand Carmenet, Grand Vidure, Grande Vidure, Grande Vuidure, Grosse Vidure, Kaberne, Kaberne Karmener, Kabernel, Karmene, Karmensel, Uva Francesca","France, Médoc",,"8,800 (Chile 2009)",
Carmine,,United States,(Carignan × Cabernet Sauvignon) × Merlot,,1946
Carminoir,,Switzerland,Pinot Noir × Cabernet Sauvignon,,1982
Carnelian,,"USA, California",(Carignan × Cabernet Sauvignon) × Grenache,,1972
Carrasquin,"Carrasco, Carrasco Negro",Spain,,,
Casavecchia,,Italy,,,
Cascade,Seibel,France,Seibel 7042 × Seibel 5409,,
Casculho,Cascudo,Portugal,,,
Casetta,"Lambrusco A Foglia Tonda, Lambrusco Casetta, Maranela.",Italy,,,
Castagnara,"Castgnarella, S. Maria, Santa Maria, Santa Maria Nera, Sarnese, Scassacaretta Nera.",Italy,,,
Castelão,"Bastardo Castico, Bastardo Espanhol, Castelana, Castelao Frances, Castelao Real, Casteleao, Castellam, Castellao, Castellao Portugues, Castico, Joao De Periquita, Joao De Santarem, Joao De Santarem Tinto, Joao Mendes, Joao Pinto Mendes, Joao Santarem, Lariao Preto, Mortagua, Mortagua De Vide Branca, Olho De Lebre, Perikvita, Periquita, Piriquita, Piriquito, Pirriquita, Santarem, Santarem Tinto.",Portugal,Cayetana blanca × Alfrocheiro Preto,,
Castets,"Castet, Engrunat, Gros Machouquet, Gros Verdau, Machoupet, Machouquet, Matioupet, Matiouquet, Nicouleau.","France, Aveyron",Gros Cabernet × Camaraou Noir,nearly extinct,
Castiglione,"Alicante Barletta, Castigliono, Castigliono Nero, Mantonico Nero, Marchesana, Sagarese, Zagarese, Zagarese Nero, Zagarolese, Zuccheio Canella, Zucchero E Cannella, Zucchero Et Cannella.",Italy,,,
Catalanesca,"Catalensca Nera, Katalaneska.",Italy,,,
Catanese Nero,"Kaleo, Vespalora, Vesparola","Italy, Sicily",,80 (2000),
Cavrara,"Bassanese Dal Peduncolo Rosso, Caprara, Cavarada, Cavarara.",Italy,,,
Centesimino,"Alicante Del Faentino, Sauvignon Rosso, Savignon Rosso.",Italy,,,
Centurian,Centurion,"USA, California",(Carignan × Cabernet Sauvignon) × Grenache,,1975
Cereza,"Ceresa, Ceresina, Cereza Italiana, Cerise, Chereza.",,Muscat Of Alexandria × Listan Prieto,,
Cesanese,"Cesanese Comune, Bambino, Bombino Nero, Bonvino Nero, Cesanese, Cesanese Ad Acino Grosso, Cesanese Di Affile, Cesanese Velletrano, Cezanese Nero, Ferrigno Nero, Mangiatoria, Nero Ferrigno, Sancinella, Sanginella, Sanguinella, Uva Di Affile.","Italy, Lazio",,"1,000 (2006)",
César,"Ceear, Ceelar, Celar, Gros Monsieur, Gros Noir, Picargneau, Picargniol, Picargniot, Picarniau, Picorneau, Roemer, Romain, Romano, Roncain.","France, Burgundy wine",Pinot × Argant,,
Cevat Kara,"Dzhevat Kara, Cevat Kara, Djevat Kara, Dshevat Kara, Jewath, Polkovnik Kara.",Ukraine,,,
Chambourcin,"Joanneseyve, Chambourcine, J.S., Joannes Seyve, John Saym, Shambursen, Zhoan Seiv.",France,Seyve Villard × Seibel,,
Charbono,"France: Corbeau, Alcantino, Aleante, Bathiolin, Batiolin, Blaue Gansfuesser, Bonarda, Bourdon Noir, Carbonneau, Charbonneau, Charbono, Corbeau, Corbeau Noir, Cot Merille, Cot Rouge Merille, Cote Rouge, Dolcetto Grosso, Dolutz, Douce Noire, Folle Noire D L'Ariege, Gansfuesser Blaue, Grenoblois, Korbo, Mauvais Noir, Ocanette, Picot Rouge, Plant De Calarin, Plant De Montmelian, Plant De Montmelion, Plant De Savoie, Plant De Turin, Plant Noir, Serbina, Sevilhao, Turca, Turin, Turino. Italy: Acqui, Barbirono, Bathiolin, Batialin, Beina, Bignola, Bignona, Bignonia, Bignonina, Bourdon Noir, Cassolo, Charbonneau, Charbono, Chasselas Noir, Cote Rouge Merille, Crete De Coq, Debili Rifosk, Dolcedo Rotstieliger, Dolceto, Dolcetta Nera, Dolcetto A Raspe Verde, Dolcetto A Raspo Rosso, Dolcetto Crni, Dolcetto Nero, Dolcetto Piemontese, Dolchetto, Dolcino Nero, Dolciut, Dolsin, Dolsin Raro, Dolzin, Dolzino, Dosset, Gros Noir De Montelimar, Gros Plant, Maennlicher Refosco, Mauvais Noir, Montelimar, Monteuse, Montmelian, Mosciolino, Nera Dolce, Nibieu, Nibio, Noirin D'Espagne, Nord Du Lot Et Garonne, Ocanette, Orincasca, Ormeasca, Ormeasco, Picot Rouge, Plant De Calarin, Plant De Chapareillan, Plant De Moirans, Plant De Montmelian, Plant De Provence, Plant De Savoie, Plant De Turin, Plant Du Roi, Premasto, Primaticcio, Promotico, Provençal, Ravanellino, Refork, Refork Debeli, Refork Male, Refosk Debeli, Rotstieliger Dolcedo, Savoyard, Turin, Turino, Uva D'Acqui, Uva D'Acquia, Uva Del Monferrato, Uva Di Ovada, Uva Di Roccagrimalda.","France, Italy",,,
Chancellor,,France,Seibel 5163 × Seibel 880,,
Charentsi,,Armenia,(Amurensis × Zhemchug Saba) × Karmrayut,,
Chatus,"Bolgnino, Bourgnin, Brachet, Brunetta, Burgnin, Carbesse, Chanu, Chany, Charagnot, Charamiot, Chatelos, Chatelus, Chatos, Chatut, Chenu, Corbeil, Corbel, Corbelle, Corbes, Corbesse, Courbet, Gros Chenu, Houron, Korbel, Korbess, Mauvais Noir, Mouraud, Mouret, Mourre, Nebbiolo Di Dronero, Nebbiolo Dronero, Nebbiolo Pairole, Neiret, Neiret Pinerolese, Neretto, Ouron, Persagne Gamay, Scarlattin, Shatu, Shenyu, Siramuse, Syramhuse, Syramuse, Ver Shenyu, Vert Chenu.",France,,,
Chelois,,France,Seibel 5163 × Seibel 5593,,
Chenanson,"Chenancon, Chenason, Pineau Gros, Shenanson, Vaalblaar Stein.",France,Grenache Noir × Jurancon Noir,,
Chichaud,"Brunet, Chicaud, Chichaud Noir, Cico, Tsintsao, Tsintsau",France,,,
Chidiriotiko,Kalloniatiko,Greece,,,
Chisago,,United States,St. Croix × Swenson Red,,
Chkhaveri,"Chhaveri, Chkhaveli, Chkhavery, Cxaveri, Riqintuli, Samchkhavera, Tchkhaveli, Tchkhaveri, Tsivtchkhavera.",Georgia,,,
Chondromavro,"Chondromavrouda, Chondromavroudi, Chondromavroudo, Khondromavroud, Khondromavroudi.",Greece,,,
Cianorie,"Canore, Canorie, Chianorie, Cianoria, Cjanorie, Rossarie, Vinosa.",Italy,,,
Cienna,,Australia,Sumoll × Cabernet Sauvignon,,1972
Ciliegiolo,"Albana Nera, Aleatico Di Spagna, Brunellone, Canaiolo Romano, Ciliegino, Ciliegiolo Di Spagna, Ciliegiolo Nero, Ciliegiona Nera, Ciliegioulo Nero, Ciliegiulo, Ciliegiuolo, Ciligiolo Nero, Ciriegiuolo Dolce, Criminese, Mazzese, Riminese, Riminese Ad Uva Rossa, Riminese Di Color Rubino Di Potercole, Riminese Nero, Riminese Noire, Sangiovese Polveroso, Sangiovese Polveroso Bonechi.",Italy,Moscato Violetto × Sangiovese,"5,000 (2006)",
Cinsaut,"Black Malvoisie, Black Prince, Blue Imperial, Boudales, Bourdales, Bourdales Kek, Bourdelas, Budales, Calibre, Chainette, Cincout, Cing-Saou, Cinq-Sao, Cinq-Saou, Cinq-Saut, Cinqsaut, Cinquien, Cinsanet, Cinsault, Cinsaut Couche, Cubilier, Cubillier, Cuviller, Cuvillier, Espagne, Espagnen, Espagnin Noir, Espagnol, Froutignan, Grappu De La Dordogne, Grecau, Grecu Masculinu, Gros De Lacaze, Gros Marocain, Hermitage, Imperial Blue, Kara, Kara Takopoulo, Madiran, Madiran Du Portugal, Malaga, Malaga Kek, Malvoise, Marocain, Marroquin, Marrouquin, Maurange, Mavro Kara, Mavro Kara Melkii, Milhau, Milhaud Du Pradel, Morterille, Morterille Noire, Moustardier Noir, Navarro, Negru De Sarichioi, Oeillade, Oeillade Noir, Ottavianello, Ottaviano, Ottavianuccia, Ottavinello, Pampous, Papadou, Passerille, Passerille Senso, Pedaire, Petaire, Picardan, Picardan Noir, Piede Di Colombo, Piede Di Palumbo, Piede Rosso, Piqepoul, Piquepoul D'Uzes, Pis De Chevre, Pis De Chevre Rouge, Plant D Arles Boudales, Plant D'Arles, Plant De Broqui, Plant De Broquies, Poupe De Crabe, Poupo De Crabe, Poupo De Crabo, Pousse De Chevre, Pousse De Chevre Rouge, Prunaley, Prunelard, Prunelas, Prunelat, Prunella, Prunellas, Prunellas Noir, S. Saul, Salerne, Samso, Samson, Sao Saul, Senso, Sensu, Sinseur, Sinso, Sinson, Strum, Takopulo Kara, Ulliade, Ulliaou, Uva Spina, West'S White Prolific.","France, Languedoc-Roussillon",,,
Colombana nera,,"Italy, Tuscany and Emilia-Romagna",,,
Colorino,,"Italy, Tuscany",,,
Complexa,,Portugal,,,1960s
Cornalin see Rouge du Pays,,"Switzerland, Valais",,116 (2009),
Cornifesto,,Portugal,,,
Corvina / Corvinone,,"Italy, Veneto wine",,,
Counoise,,"France, Rhône wine",,638 (2006),
Croatina,,"Italy, Lombardia (wine)",,,
Darnekuša,,"Croatia, Hvar",,,
Dobričić,,"Croatia, Šolta",,,
Dolcetto,,"Italy, Piedmont",,,
Domina,,"Germany, Palatinate (wine region)",,,1927
Dornfelder,,"Germany, Württemberg (wine region)",,"8,231 (2006)",1955
Douce noir/Charbono/Bonarda/Turca,,"France, Savoy wine, California, Argentina",,,
Douce Noire grise,,France,,,
Dunkelfelder,,Germany,,372 (2006),1930s
Duras,,"France, Tarn (river)",,,
Dureza,,"France, Ardèche",,,
Durif / Petite Sirah,,"France, Montpellier",,"300 (Australia),",
Ederena,,France,Merlot × Abouriou,,1952
Enfariné noir,,"France, Jura",,,
Espadeiro,,"Portugal, Minho VR",,,
Étraire,,"France, Rhone, Savoy",,,
Fer,,"France, South West France (wine region)",,,
Ferrón,,"Spain, Galicia",,,
Fetească neagră,,Romania,,,
Forcallat tinta,,"Spain, Castile-La Mancha",,,
Fortana,,"Italy, Emilia-Romagna",,,
Frappato,,"Italy, Sicily",,,
Freisa,,"Italy, Piedmont",,,
Frühroter Veltliner,,"Austria, Weinviertel",,,
Fumin,,"Italy, Valle d'Aosta DOC",,,
Gaglioppo,,"Italy, Calabria",,,
Gamashara,,Azerbaijan,,,
Gamay / Gamay noir,,"France, Loire valley",,,
Gamaret,,Switzerland,,,1970
Garanoir,,Switzerland,,203 (2009),1970
Garnatxa / Grenache / Garnacha / Cannonau /Lladoner Pelut / Lledoner Pelut,,Spain,,"82,300 (Spain), 95,700 (France),",
Girò,,"Italy, Sardinia",,552,
Gouget noir,,France,,,
Graciano/ Moristel/ Juan Ibáñez / Miguel del Arco,,"Spain, Rioja",,395 (Spain),
Grand noir de la Calmette,,France,,,
Grisa nera,,"Italy, Piedmont",,,
Greco nero,,Italy,,"3,200",
Grignolino,,"Italy, Piedmont",,,
Gropello,,"Italy, Lombardia (wine)",,,
Grolleau / Groslot,,"France, Loire valley",,"5,500",
Gros Verdot,,"France, Gironde",,,
Gueuche noir,,"France, Franche-Comté",,,
Helfensteiner,,Germany,,20,1931
Heroldrebe,,Germany,,155 (2008),1929
Hondarribi Beltza,,"Spain, Basque",,,
Hron,,Slovakia,Abouriou × Castets (grape),5 (2011),1976
Humagne Rouge / Cornalin d'Aoste,,"Italy, Aosta",,128 (Switzerland 2009),
Joubertin / Jaubertin,,"France, Savoy wine",,,
Juan Garcia,,"Spain, Galicia (Spain)",,,
Jurancon noir,,"France, Southwest",,,
Kadarka,,Hungary,,,
Kakhet,,Armenia,,,
Kalecik Karasi,,"Turkey, Ankara Province",,,
Kindzmarauli/ Saperavi,,Georgia,,,
Kotsifali,,"Greek, Crete",,,
Krasnostop Zolotovsky,"Krasnostop, Krasnostop Anapsky","Russia, Rostov Oblast and Krasnodar Krai",,66 (2010),
Kratosija,,Macedonia,,,
Lacrima di Morro / Lacrima nera,,"Italy, Marche",,,
Lagrein,,"Italy, South Tyrol",,,
Lambrusco,,"Italy, Emilia-Romagna",,,
Liatiko,,"Greece, Crete",,,
Limnio,,"Greece, Lemnos",,,
Listan negro,,"Spain, Canary Islands",,,
Madrasa/ Matrassa,,Azerbaijani wine,,,
Magarach Bastardo/Bastardo Magarach,,Ukraine,,,
Magaratch Ruby / Magarach Ruby,,Ukraine,,,1928
Magliocco Canino/Maiolica,,"Italy, Calabrian wine",,"1,500",
Magliocco Dolce/Marsigliana nera,,"Italy, Calabria",,,
Magyarfrankos,,Hungary,,,1953
Malbec / Auxerrois / Cot,,France,,"1,400 (France), 20,000 (Argentina), 7,000 (USA), 1,235 (Australia)",
Malvasia di Schierano/Malvasia nera,,Greece,,,
Mammolo,,"Italy, Tuscany",,,
Mandelaria / Mandelari / Amorghiano,,Greece,,,
Mandolari,,Greece,,,
Manseng noir,,"France, Basque Country (greater region)",,,
Manto negro,,"Spain, Majorca",,,
Mara,,Switzerland,,,2008
Maratheftiko,,Cyprus,,125,
Marselan,,"France, Languedoc",,,1961
Marsigliana,,"Italy, Calabrian wine",,,
Marzemino,,"Italy, South Tyrol",,,
Mauzac noir,,Southwest France,,,
Mavro,,Cyprus,,,
Mavrodafni / Mavrodaphne,,"Greece, Achaea",,,
Mavrud / Mavroudi,,"Bulgaria, Thrace",,,
Mayorquin,,"France, Provence wine",,,
Meghrabujr,,Armenia,,,
Melnik,,Bulgaria,,,
Mencía / Jaén colorado,,"Spain, Galicia",,,
Merenzao,,"Spain, Galicia, Valdeorras (DO)",,,
Merille,,"France, South West France (wine region)",,,
Merlot,,France,,"260,000 (2004)",
Milgranet,,"France, South West France (wine region)",,,
Millot /Léon Millot,,"France, Alsace",,,1911
Mission,,Spain,,400,
Molinara,,"Italy, Veneto wine",,,
Mondeuse,,"France, Savoy wine",,200 (2000),
Monica,,"Spain, Italy-Sardinia",,,
Montepulciano,,"Italy, Abruzzo (wine)",,,
Montù / Montuni,,"Italy, Emilia (region of Italy)",,,
Moreto,,"Portugal, Alentejo wine",,,
Moristel,,"Spain, Aragon",,,
Mornen noir,,"France, Rhone",,,
Morrastel Bouschet,,"France, Aude",,,
Mourisco tinto,,Portugal,,,
Mourvèdre / Monastrell / Mataro/ Rossola nera/Garrut,,Spain,,"260 (France), 1000 (Australia)",
Mouyssaguès,,"France, Marcillac",,nearly extinct,
Mtevandidi,,"Georgia, Guria",,,
Mujuretuli,,Georgia,,,
Muscardin,,"France, Southern Rhone",,,
Muscat Bouschet,,France,,,
Muscat Hamburg,,Germany,,,
Nebbiolo,,"Italy, Piedmont",,"5,100 (Italy), 1,100 (USA), 81 (Argentina)",
Negoska,,"Greece, Central Macedonia",,,
Negrara,,"Italy, Veneto wine",,,
Négrette/ Pinot St. George,,"France, South West France (wine region)",,,
Negroamaro,,"Italy, Puglia",,,
Negru de Dragasani,,"Romania, Romanian wine",,,
Nerkarat,,"Armenia, Tavush Region",,,
Nero Buono di Cori,,Italy,,,
Nero d'Avola,,"Italy, Sicily",,,
Nerello Mascalese/ Nerello Cappuccio,,"Italy, Sicily",,,
Neretto di Bairo,,Italy,,,
Neyret,,"Italy, Valle d'Aosta DOC",,,
Nielluccio,,"France, Corsica",,"1,500 (Corsica)",
Ninčuša,,"Croatia, Croatian wine",,,
Nocera,,"Italy, Calabrian wine",,,
Notardomenico,,"Italy, Brindisi",,,
Oeillade noire,,"France, Languedoc and Provence",,,
Ojaleshi,,"Georgia, Georgian wine",,,
Öküzgözü,,"Turkey, Elâzığ Province",,,
Oseleta,,"Italy, Verona",,,
Pais,,Spain,,,
Pallagrello nero,,"Campania, Italy",,,
Pamid,,Bulgaria,,,
Pascale di Cagliari,,"Italy, Sardinia",,,
Pelaverga,,"Italy, Piedmont",,,
Peloursin,,"France, Rhône-Alpes",,,
Perdal,,Portugal,,,
Perricone/Guarnaccia,,"Italy, Sicily",,"1,000",
Persan,,"France, Savoy wine",,,
Petit Bouschet,,"France, Spain, Portugal, North Africa",,,1824
Petit Rouge,,"Italy, Valle d'Aosta DOC",,,
Petit Verdot,,"France, South West",,"1,600 (Australia 2000), 137 (Chile 2009), 360 (USA 2000)",
Piccola nera,,"Italy, Trieste",,,
Piedirosso,,"Italy, Campania",,,
Pignerol,,"France, Provence wine",,,
Pignola Valtellinese,,"Italy, Valtellina",,,
Pignolo,,"Italy, Friuli-Venezia Giulia wine",,,
Pineau d'Aunis,,"France, Loire Valley (wine)",,,
Pinot Meunier / Schwarzriesling / Müllerebe,,France,,"2,424 (Germany 2006)",
Pinot noir / Spätburgunder / Blauburgunder / Pinot nero,,France,,,
Pinotage,,South Africa,,,1925
Piquepoul noir,,"France, Rhone Valley and Languedoc",,,
Plassa,,"Italy, Piedmont",,,
Plavina / Brajda Mala / Brajdica / Bratkovina / Jurkovica / Marasovka /Modrulj / Plavac Plavina /Plavinac /Plavina Mala / Plavina Sitnah / Plavina Velka / Plavka / Plavka Mala / Velika Plavka,,"Croatia, Dalmatia",,,
Pollera nera,,"Italy, Liguria wine",,,
Portan,,"France, Languedoc-Roussillon wine",,,
Poulsard/ Plousard,,"France, Jura wine",,,
Prieto Picudo,,"Spain, Province of León",,,
Prokupac,,Serbia,,,
Raboso,,"Italy, Veneto",,,
Ramisco,,"Portugal, Colares DOC",,,
Reberger,,Germany,Blaufränkisch x Regent,,1986
Refosco / Refošk,Teran[6][circular reference],"Italy, Friuli-Venezia Giulia wine",,,
Rimava,,Slovakia,,,
Roesler,,Austria,Zweigelt × (Seyve-Villard 18-402 × Blaufränkisch),,1970
Rondinella,,"Italy, Veneto",,,
Rossese,,"Italy, Liguria wine",,,
Rossignola,,"Italy, Veneto",,,1818
Rossolino nero,,"Italy, Valtellina, Lombardy wine",,,
Rotberger,,Germany,,,1928
Rouchet/ Ruché / Roche,,"Italy, Piedmont",,,
Rubintos,,Hungary,,,1951
Ruby Cabernet,"Ruby Chablais, Ruby Chablis","USA, California",,,1936
Rufete / Tinta Pinheira / Tinta Carvalha / Rufeta,,"Portugal, Douro DOC",,,
Sagrantino,,"Italy, Umbria",,,
Sangiovese,,"Italy, Tuscany",,"63,000 (Italy), 2,800 (Argentina), 1,700 (Romania), 1,600 (France), 1,400 (California), 440 (Australia)",
San Giuseppe nero,,"Italy, Lazio",,,
Saperavi,,Georgia,,,
Schiava / Trollinger,,"Italy, Trentino-Alto Adige/Südtirol wine",,"2,300 (Germany)",
Schioppettino,,"Italy, Friuli-Venezia Giulia wine",,,
Schönburger,,Germany,Pinot noir × (Chasselas × Muscat Hamburg),,1979
Sciacarello,,Italy,,,
Sciascinoso / Olivella nera,,"Italy, Campania",,440 (1999),
Segalin / Ségalin,,France,,,1957
Servanin,,"France, Isère",,,
Sgaretta/Sgavetta,,"Italy, Emilia-Romagna",,,
Shiraz / Syrah,,France,,"142,600 (2004)",
Shiroka Melnishka Losa / Melnik,,Bulgaria,,,
Sousão/Souzão/Sousón,,"Portugal, Minho Province",,,
St. Laurent / Svatovavrinecke,,France,,"1,730 (Czech Republic), 800 (Austria)",
Saint-Macaire,,"France, South-West",,,
Sumoll,,"Spain, Catalonia",,100,
Susumaniello,,"Italy, Puglia",,,
Tannat,,"France, South West France (wine region)",,150 (California),
Tarrango,,Australia,Touriga Nacional × Sultana,,1965
Tazzelenghe,,"Italy, Friuli-Venezia Giulia wine",,,
Tempranillo / Tinta Roriz / Ull de Llebre / Cencibel / Tinta del Pais,,"Spain, Rioja (wine)",,,
Teran,,"Croatia, Istria",,400 (2013),
Termarina rossa,,"Italy, Emilia-Romagna",,,
Teroldego / Teroldego Rotaliano,,"Italy, Trentino-Alto Adige/Südtirol wine",,390 (Italy),
Terret noir,,"France, Rhone valley",Vitis vinifera × Terret,189 (2007),
Thiniatiko,,Greece,,,
Tibouren,,"France, Provence",,,
Tinta Amarela,,Portugal,,,
Tinta Barroca,,"Portugal, Douro",,,
Tinta Caiada,,Portugal,,,
Tinta Carvalha,,"Portugal, Trás-os-Montes e Alto Douro Province",,,
Tinta Francisca,,"Portugal, Douro DOC",,,
Tinta Madeira,,Portugal,,,
Tinta Miuda,,"Portugal, Oeste Subregion",,,
Tinta Negra Mole / Preto Martinho,,"Portugal, Madeira",,,
Tinto Cão,,"Portugal, Douro",,,
Touriga Franca / Touriga Francesa,,"Portugal, Dão DOC",Mourisco de Semente × Touriga Nacional,"7,440 (Portugal)",
Touriga Nacional / Azal Espanhol / Preto de Mortágua,,"Portugal, Douro",,"2,760 (Portugal 1990)",
Turán,,Hungary,(Teinturier × Kadarka) × (Medoc noir × Csaba gyöngye),,
Trepat,,"Spain, Conca de Barberà (DO)",,1500,
Trevisana nera,,"Italy, Veneto",,,
Trincadeira/ Castelão / Torneiro,,"Portugal, Alentejo wine",,,
Usakhelauri,,"Georgia, Racha-Lechkhumi and Kvemo Svaneti",,,
Uva di Troia /Nero di Troia/ Sumarello/ Uva di Canosa/ Uva di Barletta/ Troiano/ Tranese / Uva della Marina.,,"Italy, Apulia",,,
Uvalino,,"Italy, Piedmont",,,
Uva Rara,,"Italy, Piedmont and Lombardy",,608 (2000),
Uva Tosca,,"Italy, Emilia-Romagna",,115 (2000),
Vaccarese / Vaccarèse/ Brun Argenté,,"France, Rhone",,,
Valdiguié / Brocol / Napa Gamay / Gamay 15,,"France, Languedoc-Roussillon",,,1874
Valentino nero,,"Italy, Piedmont",Chatus x Dolcetto,,
Vermentino nero,,"Italy, Tuscany",,199 (2000),
Vespolina,,"Italy, Piedmont",Nebbiolo × ?,,
Vien de Nus,,"Italy, Valle d'Aosta DOC",,,
Volidza/Volitsa,,"Greece, high altitudes in the Peloponnese region",,,ancient
Vranac,,Montenegro,,,
Vuillermin,,"Italy, Aosta Valley",Fumin × ?,0.10 ha (2000),
Wildbacher/Blauer Wildbacher,,Austria,,,
Wrothham Pinot,,France,,,
Xinomavro,Xynomavro,"Greece, Central Macedonia",,,1800
Žametovka,,Slovenia,,,
Zinfandel / Crljenak Kaštelanski / Primitivo,,Croatia,,,
Zweigelt / Zweigeltrebe / Rotburger,,Austria,St. Laurent (grape) × Blaufränkisch,"6,512 (Austria 2008)",1922
